name|author|title|description|url|publishedAt|category
Gamespot.com|Tamoor Hussain|Fortnite Patch Notes (Season 8 Update): New Skins, Map Changes, Shared Challenges, More - GameSpot|Season 8 is finally here, and Fortnite players on PS4, Xbox One, PC, Switch, and mobile have plenty to dig into.|https://www.gamespot.com/articles/fortnite-80-update-patch-notes-season-8s-new-battl/1100-6465262/|2019-02-28T20:31:00Z|technology
The Verge|Cameron Faulkner|The Roomba 890 is $90 off, and LG OLED TVs are actually more affordable - The Verge|Today’s best deals include $90 off of the Roomba 890 robot vacuum, hundreds off of LG OLED 4K HDR TVs, as well as big savings on Xbox One X consoles, the Caavo universal remote, and more.|https://www.theverge.com/good-deals/2019/2/28/18244933/roomba-890-lg-2018-oled-tvs-xbox-one-deals-sales|2019-02-28T19:58:28Z|technology
Petapixel.com|None|Sony Jumping Into CFexpress with an Ultra-Tough 1700MB/s Card - PetaPixel|The rise of CFexpress memory cards is accelerating. Just months after ProGrade Digital unveiled the world's first 1 terabyte CFExpress card, Sony has|https://petapixel.com/2019/02/28/sony-jumping-into-cfexpress-with-an-ultra-tough-1700mb-s-card/|2019-02-28T19:10:00Z|technology
IGN|None|Pokemon Sword and Shield Announced, Confirmed Pokemon, World Details Revealed - IGN|Nintendo and The Pokemon Company have announced Pokemon Sword and Shield.|https://www.ign.com/articles/2019/02/28/pokemon-sword-and-shield-announced-for-nintendo-switch|2019-02-28T19:05:00Z|technology
Youtube.com|None|Devil May Cry 5 Final Trailer - IGN|Spoiler warnings ahead for the final Devil May Cry 5 trailer. The game will be out on March 8 for Xbox One, PlayStation 4, and PC. Devil May Cry 5 Hands-On P...|https://www.youtube.com/watch?v=O60UQM8UF6U|2019-02-28T19:01:28Z|technology
Youtube.com|None|Apex Legends The Chase To Become Champion - GameSpot|None|https://www.youtube.com/watch?v=bK4u7Hs9ee0|2019-02-28T19:00:34Z|technology
Engadget|Saqib Shah|The Switch adds another comic book reader in Izneo - Engadget|Izneo brings even more graphic novels and Manga to the Switch.|https://www.engadget.com/2019/02/28/switch-comic-book-reader-izneo/|2019-02-28T18:25:32Z|technology
The Next Web|Tristan Greene|Sorry, I'm too busy planning our smart home to help pack - The Next Web|I’m supposed to be packing up all the electronics I “won’t need until after the move.” What does that even mean? I need all of my electronics all of the time. Instead, I’m pretending to write a review of these Aukey smart outlets. I’m really just surfing Amaz…|https://thenextweb.com/plugged/2019/02/28/sorry-im-too-busy-planning-our-smart-home-to-help-pack/|2019-02-28T18:03:00Z|technology
Polygon|Ryan Gilliam|Destiny 2: Season of the Drifter reveal trailer - Polygon|Destiny 2’s latest season is only a few days away, and Bungie has released an eight-minute developer commentary detailing all the new changes. Gambit Prime and The Reckoning are the two newest activities, and bring unique spins to familiar gameplay.|https://www.polygon.com/2019/2/28/18244722/destiny-2-vidoc-gambit-prime-reckoning-season-of-the-drifter-jokers-wild|2019-02-28T17:37:23Z|technology
Engadget|Jon Fingas|Spiritual successor to 'Nintendogs' comes to Switch this spring - Engadget|'Little Friends: Dogs & Cats' might be the unofficial sequel to 'Nintendogs' you've been looking for.|https://www.engadget.com/2019/02/28/little-friends-dogs-and-cats-switch-game/|2019-02-28T17:33:04Z|technology
CNBC|Todd Haselton|Use these hidden Siri tips to do even more with your iPhone and iPad - CNBC|CNBC's Todd Haselton shows you how to get the most out of Siri on your iPhone, iPad, Apple Watch and HomePod using Siri Shortcuts.|https://www.cnbc.com/2019/02/28/siri-tips-and-tricks-for-iphone.html|2019-02-28T17:26:25Z|technology
Polygon|Ryan Gilliam|Anthem loot inscription patch notes - Polygon|Getting Masterworks and Legendaries are rare in Anthem, and getting one with the perfect roll is even harder. In a new patch coming to the game on March 1, Inscriptions will be more useful for the item they drop on and lower rarity items will stop dropping fo…|https://www.polygon.com/2019/2/28/18244646/anthem-loot-inscription-patch-notes-bioware|2019-02-28T16:56:01Z|technology
The Verge|Chris Welch|Samsung will include preinstalled screen protector on Galaxy S10 and S10 Plus - The Verge|Buyers of the new Samsung Galaxy S10 and S10 Plus will find a preinstalled plastic screen protector on their device out of the box. Both phones feature an in-display ultrasonic fingerprint reader that might not work with all screen protectors.|https://www.theverge.com/2019/2/28/18244693/samsung-galaxy-s10-free-screen-protector|2019-02-28T16:47:54Z|technology
Engadget|Steve Dent|Ricoh's Theta Z1 shoots 360-degree RAW images for $999 - Engadget|Ricoh's Theta Z1 shoots gives you professional RAW 360-degree images, for a price.|https://www.engadget.com/2019/02/28/ricoh-theta-z1-360-degree-raw-camera/|2019-02-28T16:45:16Z|technology
